concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2100000001,Virtual Ward Episode,Episode,VH_VOCAB,Episode,S,VH_VIRTUAL_WARD_EPISODE,2000-01-01,2099-12-31,
2100000002,Telehealth Visit,Visit,VH_VOCAB,Visit,S,VH_TELEHEALTH_VISIT,2000-01-01,2099-12-31,
2100000003,Home Visit,Visit,VH_VOCAB,Visit,S,VH_HOME_VISIT,2000-01-01,2099-12-31,
2100000004,Device-only Check,Visit,VH_VOCAB,Visit,S,VH_DEVICE_ONLY_CHECK,2000-01-01,2099-12-31,
2100000010,Virtual Ward Daily PROM,Survey,VH_VOCAB,Survey,S,VH_VW_DAILY_PROM,2000-01-01,2099-12-31,
2100000011,Patient-reported Observation,Type Concept,VH_VOCAB,Observation Type,S,VH_OBS_TYPE_PATIENT_REPORTED,2000-01-01,2099-12-31,
2100000012,Patient Device Measurement,Type Concept,VH_VOCAB,Measurement Type,S,VH_MEAS_TYPE_PATIENT_DEVICE,2000-01-01,2099-12-31,
2100000013,Clinician Measurement,Type Concept,VH_VOCAB,Measurement Type,S,VH_MEAS_TYPE_CLINICIAN,2000-01-01,2099-12-31,
2100000014,Observation Period—Virtual Ward,Type Concept,VH_VOCAB,Observation Period Type,S,VH_OBS_PERIOD_VIRTUAL_WARD,2000-01-01,2099-12-31,
2100000015,Index Condition,Type Concept,VH_VOCAB,Condition Type,S,VH_COND_TYPE_INDEX,2000-01-01,2099-12-31,
2100000016,Virtual Ward Procedure,Type Concept,VH_VOCAB,Procedure Type,S,VH_PROC_TYPE_VW,2000-01-01,2099-12-31,
2100000017,Virtual Ward Drug Exposure,Type Concept,VH_VOCAB,Drug Type,S,VH_DRUG_TYPE_VW,2000-01-01,2099-12-31,
2100000018,Virtual Ward Visit Type,Type Concept,VH_VOCAB,Visit Type,S,VH_VISIT_TYPE_VW,2000-01-01,2099-12-31,
2100000019,Clinician Observation,Type Concept,VH_VOCAB,Observation Type,S,VH_OBS_TYPE_CLINCIAN_REPORTED,2000-01-01,2099-12-31,
2100000020,Yes,Answer,VH_VOCAB,Answer,S,VH_YES,2000-01-01,2099-12-31,
2100000021,No,Answer,VH_VOCAB,Answer,S,VH_NO,2000-01-01,2099-12-31,
2100000022,Unable to Rate,Answer,VH_VOCAB,Answer,S,VH_UNABLE_TO_RATE,2000-01-01,2099-12-31,
2100000030,percent,Unit,VH_VOCAB,Unit,S,VH_UNIT_PERCENT,2000-01-01,2099-12-31,
2100000031,beats per minute,Unit,VH_VOCAB,Unit,S,VH_UNIT_BPM,2000-01-01,2099-12-31,
2100000032,mmHg,Unit,VH_VOCAB,Unit,S,VH_UNIT_MMHG,2000-01-01,2099-12-31,
2100000033,degree Celsius,Unit,VH_VOCAB,Unit,S,VH_UNIT_DEG_C,2000-01-01,2099-12-31,
2100000034,per minute,Unit,VH_VOCAB,Unit,S,VH_UNIT_PER_MIN,2000-01-01,2099-12-31,
2100000035,kilogram,Unit,VH_VOCAB,Unit,S,VH_UNIT_KG,2000-01-01,2099-12-31,
2100000100,SpO2,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_SPO2,2000-01-01,2099-12-31,
2100000101,Heart Rate,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_HEART_RATE,2000-01-01,2099-12-31,
2100000102,Systolic Blood Pressure,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_SYSTOLIC_BP,2000-01-01,2099-12-31,
